* Measurement data measured by REW V5.30.2
* Source: EXCL: Microphone (Umik-1  Gain: 18dB), MICROPHONE (Master Volume), L, volume: 0.540
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Jan 19, 2024 11:37:20 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: bad fan that came in unit 23; intake off, exhaust 100 pwm; without volume on
* Measurement: Bad Fan in Unit 23 - 2
* Smoothing: 1/48 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
341.428589 48.019 143.6667
343.902710 47.963 177.9629
346.394775 47.623 -156.0645
348.904907 48.104 -173.0259
351.433228 50.022 103.9683
353.979858 52.062 -179.6201
356.544952 52.906 -168.1125
359.128632 52.140 174.3818
361.731018 50.813 162.8042
364.352264 49.828 174.1274
366.992523 48.952 168.0027
369.651917 48.177 134.7954
372.330566 47.941 103.0444
375.028625 48.546 101.4917
377.746246 49.871 133.4988
380.483551 51.198 156.4221
383.240692 51.848 129.6406
386.017822 51.832 67.5416
388.815063 51.398 -10.2286
391.632568 50.833 -53.6372
394.470490 49.652 -86.7404
397.328979 47.536 -100.3962
400.208191 45.422 58.9170
403.108276 44.124 68.4243
406.029358 43.017 80.4697
408.971619 42.447 72.0396
411.935181 42.601 -6.0619
414.920227 42.478 38.5228
417.926910 41.825 40.4365
420.955383 41.366 -143.9714
424.005798 41.866 -148.6580
427.078308 42.792 -113.8813
430.173096 43.498 -70.5183
433.290314 44.473 -88.0078
436.430115 45.969 -136.3486
439.592682 47.506 101.7627
442.778137 48.567 93.0837
445.986694 48.691 117.0610
449.218506 48.174 124.6582
452.473724 47.861 125.1328
455.752533 47.953 -113.4250
459.055115 48.194 -134.0503
462.381622 48.156 -166.1802
465.732239 47.764 138.5474
469.107117 47.035 14.7981
472.506470 46.227 -6.6371
475.930450 46.206 27.1932
479.379242 47.054 69.5310
482.853027 47.882 125.5439
486.351990 48.407 47.1982
489.876282 48.944 26.8527
493.426117 49.396 46.0940
497.001678 49.483 91.4463
500.603149 49.200 136.3423
504.230713 48.636 -119.4380
507.884583 47.388 155.2837
511.564911 45.813 111.5415
515.271912 44.443 94.4756
519.005798 43.330 109.8147
522.766724 42.646 -132.9492
526.554932 42.022 -122.9089
530.370544 41.390 -80.6089
534.213806 40.615 -76.0425
538.084961 40.446 -64.4011
541.984131 41.586 -179.1694
545.911560 43.106 -78.1143
549.867432 44.269 -71.0674
553.851990 44.720 -98.1389
557.865417 44.288 -173.7773
561.907959 43.094 157.4316
565.979797 41.770 -145.5681
570.081116 41.312 -105.9531
574.212158 41.701 -136.5920
578.373108 42.628 156.2349
582.564209 43.767 99.0967
586.785706 44.403 74.9429
591.037781 44.874 162.3022
595.320679 45.733 148.7349
599.634644 46.464 137.2234
603.979858 47.401 111.7803
608.356567 48.501 109.8711
612.764954 48.690 169.5969
617.205322 47.491 -134.5007
621.677856 45.581 -138.8032
626.182800 44.420 165.3130
630.720398 44.664 146.4463
635.290833 46.120 -133.1357
639.894409 47.617 -139.4519
644.531372 48.316 161.7534
649.201904 48.176 126.1123
653.906311 47.308 91.6357
658.644775 46.627 -6.6990
663.417603 46.371 -60.5271
668.224976 45.659 161.3225
673.067200 44.408 133.5298
677.944519 43.995 132.2019
682.857178 44.837 147.0563
687.805420 45.215 150.6366
692.789551 44.586 152.3999
697.809814 43.519 55.4033
702.866455 42.952 47.9253
707.959717 43.713 106.0322
713.089905 45.557 126.0977
718.257263 47.474 146.6267
723.462036 48.628 173.5176
728.704529 48.343 -154.5554
733.985046 47.111 -114.7269
739.303833 46.348 -63.8781
744.661133 46.286 -23.8395
750.057251 46.644 27.4089
755.492493 47.397 95.3735
760.967102 47.816 111.6914
766.481384 47.881 -95.8528
772.035645 47.579 -100.2263
777.630127 46.689 -50.1006
783.265137 45.469 -51.2368
788.940979 44.724 -66.9775
794.657959 44.789 -29.5732
800.416382 45.400 48.3315
806.216553 46.229 67.9773
812.058716 47.529 118.8457
817.943237 49.132 138.7109
823.870361 50.379 159.3721
829.840454 50.881 169.2207
835.853821 50.556 -174.7017
841.910767 49.197 -175.2573
848.011597 47.051 136.1753
854.156616 45.471 98.0271
860.346191 45.562 71.1943
866.580627 46.380 58.4934
872.860229 46.807 15.8088
879.185364 47.171 3.6069
885.556274 48.079 -78.3230
891.973389 48.593 -159.0620
898.437012 47.766 101.1819
904.947449 46.404 39.3364
911.505066 46.222 24.3533
918.110229 46.983 -13.7745
924.763245 47.431 -15.5137
931.464478 47.681 -17.9900
